"x","y","treecover","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B7","NDVI","kNDVI","SAVI","NDWI","EVI","Greenness","Brightness"
-98.9253837249375,19.2358431412379,0,0.0660075023770332,0.0878150016069412,0.0923250019550323,0.315597504377365,0.253805011510849,0.151120007038116,0.547340512275696,1,0.368873715400696,-0.564639151096344,0.406100273132324,0.139146506786346,0.417271763086319
-99.3317815594732,18.9404770758194,0,0.0675750002264977,0.0892999991774559,0.0846799984574318,0.276052504777908,0.175842493772507,0.0997499972581863,0.53051084280014,1,0.333505183458328,-0.511157035827637,0.374558657407761,0.114165417850018,0.344831526279449
-99.3328595378142,19.1620016248833,0,0.0194774996489286,0.0312200002372265,0.0306150000542402,0.142979994416237,0.0919675007462502,0.0487649999558926,0.647282481193542,1,0.25022080540657,-0.641561388969421,0.237942710518837,0.0755987912416458,0.162932828068733
-99.0089270463607,19.2897420582851,0,0.0750550031661987,0.0919125005602837,0.108192503452301,0.190417498350143,0.178427502512932,0.154117494821548,0.275359153747559,0.999999463558197,0.154440209269524,-0.348900228738785,0.161015838384628,0.0311723370105028,0.319864928722382
-99.1695458191612,19.2671045131252,0,0.0949925035238266,0.123180001974106,0.137122496962547,0.246215000748634,0.226277500391006,0.208017498254776,0.284586042165756,0.999999821186066,0.185250550508499,-0.333071649074554,0.201054185628891,0.0392129421234131,0.412362188100815
-99.2673723536019,19.3595411558611,0,0.155575007200241,0.20279249548912,0.234252497553825,0.260707497596741,0.247755005955696,0.24363000690937,0.0534487627446651,0.278151124715805,0.0398835130035877,-0.124951459467411,0.0441090166568756,-0.0348771996796131,0.518474161624908
-98.9162209090395,19.1385555959677,0,0.0608374997973442,0.0862062498927116,0.10835749655962,0.183239996433258,0.173917502164841,0.138868749141693,0.256800889968872,0.999996244907379,0.141895025968552,-0.360122829675674,0.135942012071609,0.0374107211828232,0.302436470985413
-98.8644779486742,19.353612274986,0,0.0690874978899956,0.101674996316433,0.138524994254112,0.21637749671936,0.226552501320839,0.196549996733665,0.219363078474998,0.999867796897888,0.136598914861679,-0.360640168190002,0.127262264490128,0.0386078879237175,0.375834137201309
-99.0469257828789,19.3608886287873,0,0.0728550031781197,0.0917475000023842,0.0880625024437904,0.255757510662079,0.219292506575584,0.133162498474121,0.487740695476532,1,0.298099726438522,-0.471964448690414,0.338717579841614,0.0926717892289162,0.36601796746254
-99.4406573719085,19.2870471124327,0,0.0548424981534481,0.0913074985146523,0.090427502989769,0.240384995937347,0.195559993386269,0.132227495312691,0.453300565481186,1,0.270742475986481,-0.449444890022278,0.273319602012634,0.0889374315738678,0.337249398231506
