treecover,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,NDVI,SAVI,EVI,Brightness,Greenness
0,0.066007502,0.087815002,0.092325002,0.315597504,0.253805012,0.151120007,0.547340512,0.368873715,0.406100273,0.417271763,0.139146507
0,0.067575,0.089299999,0.084679998,0.276052505,0.175842494,0.099749997,0.530510843,0.333505183,0.374558657,0.344831526,0.114165418
0,0.0194775,0.03122,0.030615,0.142979994,0.091967501,0.048765,0.647282481,0.250220805,0.237942711,0.162932828,0.075598791
0,0.075055003,0.091912501,0.108192503,0.190417498,0.178427503,0.154117495,0.275359154,0.154440209,0.161015838,0.319864929,0.031172337
0,0.094992504,0.123180002,0.137122497,0.246215001,0.2262775,0.208017498,0.284586042,0.185250551,0.201054186,0.412362188,0.039212942
0,0.155575007,0.202792495,0.234252498,0.260707498,0.247755006,0.243630007,0.053448763,0.039883513,0.044109017,0.518474162,-0.0348772
0,0.0608375,0.08620625,0.108357497,0.183239996,0.173917502,0.138868749,0.25680089,0.141895026,0.135942012,0.302436471,0.037410721
0,0.069087498,0.101674996,0.138524994,0.216377497,0.226552501,0.196549997,0.219363078,0.136598915,0.127262264,0.375834137,0.038607888
0,0.072855003,0.0917475,0.088062502,0.255757511,0.219292507,0.133162498,0.487740695,0.298099726,0.33871758,0.366017967,0.092671789
0,0.054842498,0.091307499,0.090427503,0.240384996,0.195559993,0.132227495,0.453300565,0.270742476,0.273319602,0.337249398,0.088937432
0,0.062405001,0.103270002,0.119495004,0.352873743,0.298107505,0.182579994,0.494060487,0.36001581,0.36424309,0.477325499,0.154661298
0,0.055942498,0.079922497,0.069472499,0.332207501,0.176695004,0.092545003,0.654090345,0.437075794,0.494058281,0.362530112,0.169144928
0,0.067423753,0.104631245,0.129394993,0.240797505,0.224847496,0.173408747,0.300931305,0.192030802,0.184259504,0.381558806,0.06310229
0,0.095157497,0.117817499,0.134784997,0.175319999,0.181700006,0.161899999,0.130713806,0.075055093,0.079771407,0.339391977,-0.005697867
0,0.075055003,0.100987494,0.113499999,0.246448755,0.21885249,0.158036247,0.369354665,0.231901184,0.243578643,0.376578957,0.070724763
0,0.099282503,0.127635002,0.161872506,0.213489994,0.232079998,0.216102496,0.137513712,0.088450477,0.089607082,0.409335941,0.004076692
