"model","intercept","slope","predicted_at_observed_0","predicted_at_observed_100"
"Gradient boosting",20.5574474147288,0.573091841261536,20.5574474147288,77.8666315408824
"Linear regression",23.9090533687471,0.510206282596492,23.9090533687471,74.9296816283963
"MLP",20.6675783324123,0.57254901803091,20.6675783324123,77.9224801355033
"Random Forest",20.9590237551157,0.56418034764371,20.9590237551157,77.3770585194867
