"period","threshold_method","threshold_percentage_points","category_code","category","area_km2","percentage"
"1994_2003","Single_map_RMSE",20.3182670555614,-1,"Detectable loss",213.726710271582,6.60524436819402
"1994_2003","Single_map_RMSE",20.3182670555614,0,"No detectable change / uncertain",2991.86409912909,92.4638453755396
"1994_2003","Single_map_RMSE",20.3182670555614,1,"Detectable gain",30.1215784820836,0.930910256266417
"1994_2003","Combined_two_map_RMSE",28.7343688338935,-1,"Detectable loss",82.2669554373072,2.54246810517857
"1994_2003","Combined_two_map_RMSE",28.7343688338935,0,"No detectable change / uncertain",3146.62364071783,97.2467037706606
"1994_2003","Combined_two_map_RMSE",28.7343688338935,1,"Detectable gain",6.82179173061922,0.210828124160832
"1994_2003","Conservative_95_percent",56.3193629144312,-1,"Detectable loss",1.29358559444868,0.0399783861906642
"1994_2003","Conservative_95_percent",56.3193629144312,0,"No detectable change / uncertain",3234.39766910814,99.9593684907254
"1994_2003","Conservative_95_percent",56.3193629144312,1,"Detectable gain",0.0211331845346093,0.000653123083921837
"2003_2014","Single_map_RMSE",20.3182670555614,-1,"Detectable loss",49.7684868899261,1.53810063832613
"2003_2014","Single_map_RMSE",20.3182670555614,0,"No detectable change / uncertain",2778.93250965464,85.8832191627311
"2003_2014","Single_map_RMSE",20.3182670555614,1,"Detectable gain",407.009700779359,12.5786801989428
"2003_2014","Combined_two_map_RMSE",28.7343688338935,-1,"Detectable loss",8.41779000957855,0.260152739135457
"2003_2014","Combined_two_map_RMSE",28.7343688338935,0,"No detectable change / uncertain",3050.66332399326,94.2810902878128
"2003_2014","Combined_two_map_RMSE",28.7343688338935,1,"Detectable gain",176.629583317771,5.45875697305179
"2003_2014","Conservative_95_percent",56.3193629144312,-1,"Detectable loss",0.0701618149913549,0.00216835871789567
"2003_2014","Conservative_95_percent",56.3193629144312,0,"No detectable change / uncertain",3234.27152661098,99.9555222685271
"2003_2014","Conservative_95_percent",56.3193629144312,1,"Detectable gain",1.36900890020508,0.0423093727549981
"2014_2024","Single_map_RMSE",20.3182670555614,-1,"Detectable loss",154.0588340347,4.7370075576111
"2014_2024","Single_map_RMSE",20.3182670555614,0,"No detectable change / uncertain",3085.03306868933,94.8587275337283
"2014_2024","Single_map_RMSE",20.3182670555614,1,"Detectable gain",13.1476633110567,0.404264908660633
"2014_2024","Combined_two_map_RMSE",28.7343688338935,-1,"Detectable loss",41.0424701577134,1.2619756117071
"2014_2024","Combined_two_map_RMSE",28.7343688338935,0,"No detectable change / uncertain",3207.46189421657,98.6231742491854
"2014_2024","Combined_two_map_RMSE",28.7343688338935,1,"Detectable gain",3.73520166570642,0.11485013910751
"2014_2024","Conservative_95_percent",56.3193629144312,-1,"Detectable loss",0.481756696634799,0.0148130753240117
"2014_2024","Conservative_95_percent",56.3193629144312,0,"No detectable change / uncertain",3251.68334205774,99.9828972014252
"2014_2024","Conservative_95_percent",56.3193629144312,1,"Detectable gain",0.0744672855141163,0.00228972325076261
"1994_2024","Single_map_RMSE",20.3182670555614,-1,"Detectable loss",168.640949957336,5.18537907414666
"1994_2024","Single_map_RMSE",20.3182670555614,0,"No detectable change / uncertain",2990.66221536988,91.9570085044192
"1994_2024","Single_map_RMSE",20.3182670555614,1,"Detectable gain",92.9364018463483,2.85761242143416
"1994_2024","Combined_two_map_RMSE",28.7343688338935,-1,"Detectable loss",48.8097651290698,1.50080472612562
"1994_2024","Combined_two_map_RMSE",28.7343688338935,0,"No detectable change / uncertain",3171.35950487937,97.5130964179063
"1994_2024","Combined_two_map_RMSE",28.7343688338935,1,"Detectable gain",32.0702971652397,0.986098855968044
"1994_2024","Conservative_95_percent",56.3193629144312,-1,"Detectable loss",1.00133884563513,0.0307892092495653
"1994_2024","Conservative_95_percent",56.3193629144312,0,"No detectable change / uncertain",3250.95749208863,99.9605787008802
"1994_2024","Conservative_95_percent",56.3193629144312,1,"Detectable gain",0.280736242234953,0.00863208987026377
