"point_id","cell_id","x","y","cover_class","canopy_cover","blue","green","red","nir","swir1","swir2","ndvi","savi","evi","Brightness","Greenness","spatial_fold"
1,3529199,-99.3875818255946,18.9771349558459,1,0,0.0367750003933907,0.0756599977612495,0.0653475001454353,0.262715011835098,0.220832496881485,0.127112492918968,0.60161554813385,0.35752284526825,0.357812374830246,0.12892909348011,0.341054707765579,5
2,1883566,-99.3075419337795,19.1698235842896,1,0,0.0244687497615814,0.0445299968123436,0.0401025004684925,0.195463746786118,0.123702503740788,0.06640625,0.659522533416748,0.316819697618484,0.310086667537689,0.104446820914745,0.22062548995018,4
3,1533436,-99.3684477100429,19.2107867612454,1,0.0420428514480591,0.0459875017404556,0.081545002758503,0.0775574967265129,0.246160000562668,0.219237506389618,0.11140999943018,0.520832240581512,0.30702731013298,0.308434545993805,0.109712451696396,0.337794154882431,5
4,1933975,-99.37087316131,19.1638947034144,1,0,0.0443925000727177,0.0696374997496605,0.0631750002503395,0.249707505106926,0.158270001411438,0.102169997990131,0.596174299716949,0.344205647706985,0.359875231981277,0.11668649315834,0.298620104789734,5
5,2714045,-98.8335009583497,19.0728055336047,1,0,0.0621849969029427,0.100643754005432,0.118230000138283,0.276148736476898,0.227047502994537,0.170040011405945,0.400424063205719,0.264852106571198,0.259881585836411,0.0964968949556351,0.394803673028946,3
6,2343587,-99.4096803815839,19.1159246672424,1,0.0695851519703865,0.0408449992537498,0.0635050013661385,0.0804724991321564,0.247370004653931,0.186127498745918,0.110255002975464,0.509078323841095,0.302408069372177,0.293035537004471,0.114373527467251,0.314835876226425,2
7,1312928,-99.2380123307887,19.236658241428,1,0,0.0880350023508072,0.11116249859333,0.139624997973442,0.199849992990494,0.237360000610352,0.240439996123314,0.177406281232834,0.107611894607544,0.109314158558846,0.00672129541635513,0.392243355512619,2
8,1608760,-98.9210866985513,19.2021629345179,1,15.5280313491821,0.0484624989330769,0.0673824995756149,0.0750550031661987,0.177877500653267,0.186649993062019,0.115507498383522,0.406521499156952,0.204844057559967,0.203248485922813,0.0595964044332504,0.280319064855576,4
9,218111,-98.9860348935932,19.3649376640003,1,0,0.112510003149509,0.134619995951653,0.161294996738434,0.175897493958473,0.212500005960464,0.210189998149872,0.043306116014719,0.0261633321642876,0.0280851293355227,-0.0324588678777218,0.385337799787521,1
10,2393135,-99.0846699117895,19.1102652809524,1,16.0327186584473,0.0250049997121096,0.0491225011646748,0.0492325015366077,0.243575006723404,0.146610006690025,0.0795925036072731,0.663721024990082,0.367698013782501,0.359512031078339,0.134834498167038,0.265903621912003,3
11,683615,-98.8512876009752,19.3104997577827,1,0,0.076154999434948,0.101537503302097,0.129037499427795,0.210079997777939,0.218274995684624,0.179499998688698,0.23898059129715,0.144870951771736,0.14337283372879,0.0353139229118824,0.36536630988121,3
12,412486,-99.3350303814736,19.3420306242553,1,4.79568815231323,0.0207425002008677,0.0442549996078014,0.0321274995803833,0.232354998588562,0.165227502584457,0.0717549994587898,0.757053852081299,0.39286869764328,0.394287943840027,0.138056308031082,0.259062558412552,3
13,727001,-98.9461496949783,19.3053793606632,1,0,0.114270001649857,0.139927506446838,0.163000002503395,0.224847495555878,0.256252497434616,0.246710002422333,0.159463435411453,0.10449006408453,0.114887908101082,-0.00263747107237577,0.444550037384033,2
14,432808,-99.441750237227,19.3396051729881,1,11.3207015991211,0.0318799987435341,0.0523950010538101,0.0481600016355515,0.271459996700287,0.196109995245934,0.103874996304512,0.698642134666443,0.408664971590042,0.422494143247604,0.150590091943741,0.315006226301193,5
15,1881875,-99.1428807422004,19.1700930788748,1,0,0.0416699983179569,0.0634775012731552,0.06980250030756,0.164100006222725,0.18453249335289,0.121172502636909,0.403148770332336,0.19273167848587,0.185568019747734,0.0545589774847031,0.266696065664291,1
16,3631433,-99.1326399479615,18.9652771940955,1,2.91885209083557,0.046730000525713,0.082617498934269,0.0905650034546852,0.267114996910095,0.197925001382828,0.120677500963211,0.493597596883774,0.30876898765564,0.302305430173874,0.117062442004681,0.344995141029358,2
17,1332306,-98.9787585397918,19.2345022847462,1,0,0.064522497355938,0.0870724990963936,0.100189998745918,0.220860004425049,0.258204996585846,0.215332493185997,0.3758604824543,0.220455527305603,0.225453436374664,0.0580875761806965,0.380036592483521,1
18,770127,-99.1110803811426,19.3002589635437,1,5.83430862426758,0.0637800022959709,0.0738174989819527,0.0728275030851364,0.174494996666908,0.106129996478558,0.0599575005471706,0.411072552204132,0.20406349003315,0.224310725927353,0.0511226542294025,0.235546603798866,2
